"Year","aou","speciestotal","routeID"
2010,4860,3,12465037
2011,4860,3,12465037
2012,4860,13,12465037
2013,4860,6,12465037
2014,4860,10,12465037
2015,4860,2,12465037
2016,4860,2,12465037
1966,4860,5,12465038
1967,4860,15,12465038
1968,4860,5,12465038
1969,4860,10,12465038
1970,4860,11,12465038
1970,5090,4,12465038
1971,4860,12,12465038
1972,4860,13,12465038
1972,5090,1,12465038
1973,4860,5,12465038
1974,4860,11,12465038
1975,4860,12,12465038
1976,4860,5,12465038
1977,4860,7,12465038
1978,4860,3,12465038
1979,4860,8,12465038
1979,5090,1,12465038
1980,4860,6,12465038
1981,4860,8,12465038
1982,4860,9,12465038
1991,4860,3,12465038
1995,4860,3,12465038
1996,4860,3,12465038
1997,4860,3,12465038
1998,4860,1,12465038
2000,4860,1,12465038
2001,4860,2,12465038
2002,4860,2,12465038
2004,4860,2,12465038
2005,4860,2,12465038
2007,4860,1,12465038
2010,4860,3,12465038
2011,4860,1,12465038
2011,5090,2,12465038
2012,4860,1,12465038
2014,4860,6,12465038
2015,4860,1,12465038
2016,4860,1,12465038
2016,4860,5,12465039
1998,4860,24,12465117
1999,4860,30,12465117
2000,4860,31,12465117
2001,4860,14,12465117
2002,4860,3,12465117
2003,4860,6,12465117
2004,4860,17,12465117
2005,4860,10,12465117
2006,4860,3,12465117
2007,4860,9,12465117
2008,4860,8,12465117
2009,4860,12,12465117
2010,4860,4,12465117
2011,4860,4,12465117
2012,4860,13,12465117
2013,4860,4,12465117
2014,4860,19,12465117
2015,4860,8,12465117
2016,4860,10,12465117
1993,4860,8,12465130
1994,4860,4,12465130
1994,5090,1,12465130
1995,4860,3,12465130
1995,5090,3,12465130
1996,4860,2,12465130
1996,5090,2,12465130
1997,4860,5,12465130
1997,5090,1,12465130
1998,4860,2,12465130
1999,4860,5,12465130
2000,4860,1,12465130
2001,4860,4,12465130
2001,5090,2,12465130
2002,4860,4,12465130
2004,4860,4,12465130
2013,4860,8,12465130
2014,4860,4,12465130
2015,4860,1,12465130
2016,4860,10,12465130
2015,4860,20,12465228
2016,4860,4,12465228
2009,4860,2,12468005
2015,4860,1,12468005
2012,4860,1,12468006
2014,4860,2,12468010
2015,4860,1,12468010
1995,4860,1,12468011
2000,4860,1,12468011
2003,4860,1,12468011
2006,4860,1,12468011
2007,4860,3,12468011
2013,4860,2,12468011
2005,4860,1,12468012
2006,4860,1,12468012
2008,4860,2,12468012
2010,4860,6,12468012
2011,4860,1,12468012
2012,4860,3,12468012
2013,4860,2,12468012
2014,4860,2,12468012
2016,4860,2,12468012
2005,4860,1,12468014
2009,4860,1,12468014
2011,4860,1,12468014
2014,4860,4,12468014
2015,4860,2,12468014
2016,4860,7,12468014
1988,4860,1,12468015
1994,4860,1,12468015
1995,4860,1,12468015
1996,4860,1,12468015
1997,4860,2,12468015
1998,4860,13,12468015
1999,4860,4,12468015
2000,4860,6,12468015
2001,4860,4,12468015
2002,4860,5,12468015
2003,4860,8,12468015
2004,4860,9,12468015
2005,4860,5,12468015
2006,4860,7,12468015
2007,4860,7,12468015
2008,4860,7,12468015
2009,4860,10,12468015
2010,4860,12,12468015
2011,4860,22,12468015
2012,4860,15,12468015
2013,4860,14,12468015
2014,4860,22,12468015
2015,4860,28,12468015
2016,4860,22,12468015
1977,5090,1,12468017
1978,5090,2,12468017
2003,4860,2,12468018
2005,4860,2,12468018
2012,4860,1,12468018
2015,4860,1,12468018
1983,4860,2,12468020
1986,4860,2,12468020
1993,4860,2,12468020
1997,4860,1,12468020
2000,4860,2,12468020
2001,4860,1,12468020
2007,4860,3,12468020
2014,4860,5,12468020
2016,4860,6,12468020
2010,4860,1,12468022
1972,5090,2,12468023
1974,5090,1,12468023
2002,4860,2,12468023
2008,4860,1,12468023
2000,4860,1,12468024
2002,4860,4,12468024
2007,4860,1,12468024
2012,4860,1,12468024
1988,4860,1,12468025
1996,4860,1,12468025
2000,4860,1,12468025
2004,4860,1,12468025
2007,4860,1,12468025
2010,4860,15,12468025
2012,4860,2,12468025
1971,4860,1,12468026
1973,4860,1,12468026
1986,4860,1,12468026
1987,4860,4,12468026
1988,4860,6,12468026
1990,4860,1,12468026
1991,4860,1,12468026
1992,4860,4,12468026
1993,4860,2,12468026
1994,4860,8,12468026
1995,4860,3,12468026
1996,4860,1,12468026
1997,4860,8,12468026
1998,4860,4,12468026
1999,4860,5,12468026
2000,4860,2,12468026
2001,4860,5,12468026
2002,4860,2,12468026
2003,4860,3,12468026
2004,4860,1,12468026
2005,4860,1,12468026
2006,4860,3,12468026
2007,4860,1,12468026
2008,4860,6,12468026
2009,4860,12,12468026
2010,4860,10,12468026
2011,4860,5,12468026
2012,4860,3,12468026
2013,4860,4,12468026
2014,4860,7,12468026
2015,4860,7,12468026
2016,4860,7,12468026
1968,4860,1,12468027
1968,5090,1,12468027
1969,4860,4,12468027
1970,4860,1,12468027
1972,4860,5,12468027
1973,4860,5,12468027
1974,4860,6,12468027
1975,4860,1,12468027
1976,4860,4,12468027
1977,4860,3,12468027
1978,4860,12,12468027
1979,4860,7,12468027
1980,4860,18,12468027
1981,4860,10,12468027
1982,4860,9,12468027
1983,4860,13,12468027
1984,4860,6,12468027
1988,4860,14,12468027
1989,4860,22,12468027
1990,4860,22,12468027
1991,4860,12,12468027
1992,4860,11,12468027
1993,4860,20,12468027
1994,4860,21,12468027
1995,4860,25,12468027
1996,4860,19,12468027
1997,4860,3,12468027
1998,4860,9,12468027
1975,4860,4,12468028
1978,4860,2,12468028
1979,4860,1,12468028
1983,4860,5,12468028
1985,4860,1,12468028
1986,4860,6,12468028
1987,4860,2,12468028
1990,4860,1,12468028
1991,4860,1,12468028
1993,4860,1,12468028
1994,4860,3,12468028
1995,4860,2,12468028
1996,4860,5,12468028
1997,4860,2,12468028
1998,4860,3,12468028
1999,4860,3,12468028
2001,4860,5,12468028
2002,4860,2,12468028
2004,4860,3,12468028
2005,4860,2,12468028
2007,4860,5,12468028
2008,4860,2,12468028
2009,4860,7,12468028
2010,4860,1,12468028
2012,4860,6,12468028
2013,4860,2,12468028
2014,4860,7,12468028
2015,4860,1,12468028
1969,4860,31,12468030
1970,4860,21,12468030
1971,4860,26,12468030
1972,4860,18,12468030
1973,4860,9,12468030
1974,4860,23,12468030
1975,4860,21,12468030
1976,4860,44,12468030
1977,4860,16,12468030
1978,4860,28,12468030
1979,4860,27,12468030
1980,4860,26,12468030
1968,4860,13,12468031
1969,4860,33,12468031
1970,4860,23,12468031
1971,4860,28,12468031
1972,4860,33,12468031
1973,4860,33,12468031
1974,4860,32,12468031
1975,4860,25,12468031
1976,4860,14,12468031
1977,4860,64,12468031
1979,4860,80,12468031
1980,4860,49,12468031
1981,4860,32,12468031
1982,4860,23,12468031
1983,4860,30,12468031
1984,4860,23,12468031
1985,4860,31,12468031
1986,4860,11,12468031
1987,4860,22,12468031
1988,4860,18,12468031
1989,4860,21,12468031
1990,4860,29,12468031
1991,4860,17,12468031
1992,4860,48,12468031
1993,4860,25,12468031
1994,4860,12,12468031
1995,4860,15,12468031
1996,4860,45,12468031
1997,4860,31,12468031
1998,4860,27,12468031
2000,4860,39,12468031
2001,4860,23,12468031
2002,4860,52,12468031
1968,4860,10,12468032
1969,4860,20,12468032
1970,4860,15,12468032
1971,4860,23,12468032
1972,4860,31,12468032
1973,4860,25,12468032
1974,4860,24,12468032
1975,4860,26,12468032
1976,4860,23,12468032
1977,4860,28,12468032
1978,4860,14,12468032
1979,4860,46,12468032
1981,4860,65,12468032
1982,4860,51,12468032
1983,4860,63,12468032
1984,4860,59,12468032
1985,4860,49,12468032
1986,4860,44,12468032
1987,4860,47,12468032
1988,4860,47,12468032
1989,4860,77,12468032
1990,4860,53,12468032
1991,4860,63,12468032
1992,4860,80,12468032
1993,4860,79,12468032
1994,4860,65,12468032
1995,4860,40,12468032
1996,4860,62,12468032
1997,4860,76,12468032
1998,4860,33,12468032
2000,4860,58,12468032
2001,4860,27,12468032
2003,4860,30,12468032
2010,4860,23,12468032
2011,4860,30,12468032
2012,4860,26,12468032
2013,4860,39,12468032
2014,4860,43,12468032
1968,4860,4,12468033
1969,4860,1,12468033
1970,4860,3,12468033
1971,4860,4,12468033
1972,4860,2,12468033
1973,4860,1,12468033
1974,4860,1,12468033
1976,4860,4,12468033
1978,4860,11,12468033
1986,4860,3,12468033
1987,4860,13,12468033
1988,4860,11,12468033
2006,4860,9,12468033
1968,4860,3,12468034
1970,4860,5,12468034
1971,4860,3,12468034
1972,4860,1,12468034
1973,4860,2,12468034
1974,4860,4,12468034
1975,4860,5,12468034
1976,4860,1,12468034
1981,4860,2,12468034
1982,4860,6,12468034
1983,4860,9,12468034
1984,4860,4,12468034
1985,4860,8,12468034
1986,4860,3,12468034
1987,4860,10,12468034
1988,4860,15,12468034
1991,4860,22,12468034
1992,4860,20,12468034
1993,4860,15,12468034
1994,4860,30,12468034
1999,4860,41,12468034
2006,4860,29,12468034
2007,4860,14,12468034
2008,4860,11,12468034
2010,4860,15,12468034
2011,4860,11,12468034
2012,4860,17,12468034
2013,4860,29,12468034
2014,4860,5,12468034
2015,4860,6,12468034
2016,4860,19,12468034
1971,4860,1,12468035
1972,4860,4,12468035
1973,4860,3,12468035
1974,4860,3,12468035
1980,4860,4,12468035
1982,4860,9,12468035
1983,4860,4,12468035
1984,4860,1,12468035
1985,4860,16,12468035
1986,4860,3,12468035
1987,4860,2,12468035
1988,4860,1,12468035
1991,4860,7,12468035
1996,4860,5,12468035
1997,4860,11,12468035
1999,4860,6,12468035
2000,4860,11,12468035
2001,4860,2,12468035
2002,4860,8,12468035
2003,4860,16,12468035
2004,4860,18,12468035
2006,4860,7,12468035
2010,4860,3,12468035
2013,4860,5,12468035
2015,4860,4,12468035
1970,4860,4,12468036
1973,4860,5,12468036
1973,5090,2,12468036
1974,4860,7,12468036
1975,4860,2,12468036
1976,4860,6,12468036
1980,4860,3,12468036
1981,4860,4,12468036
1982,4860,4,12468036
1983,4860,3,12468036
1987,4860,3,12468036
1988,4860,15,12468036
1989,4860,8,12468036
1990,4860,6,12468036
1991,4860,6,12468036
1992,4860,19,12468036
1993,4860,7,12468036
1994,4860,11,12468036
1995,4860,3,12468036
1996,4860,8,12468036
1998,4860,2,12468036
2000,4860,11,12468036
2001,4860,7,12468036
2004,4860,19,12468036
2006,4860,8,12468036
2007,4860,13,12468036
2008,4860,6,12468036
2009,4860,13,12468036
2010,4860,9,12468036
2011,4860,15,12468036
2012,4860,13,12468036
2013,4860,9,12468036
2014,4860,5,12468036
2015,4860,12,12468036
1974,4860,1,12468037
1976,4860,2,12468037
1978,4860,1,12468037
1979,4860,4,12468037
1980,4860,6,12468037
1981,4860,3,12468037
1982,4860,1,12468037
1983,4860,9,12468037
1984,4860,1,12468037
1985,4860,7,12468037
1986,4860,12,12468037
1987,4860,5,12468037
1988,4860,5,12468037
1989,4860,7,12468037
1990,4860,8,12468037
1991,4860,1,12468037
1992,4860,6,12468037
1993,4860,17,12468037
1994,4860,11,12468037
1995,4860,12,12468037
1996,4860,9,12468037
1997,4860,1,12468037
1998,4860,6,12468037
1999,4860,7,12468037
2000,4860,15,12468037
2001,4860,15,12468037
2002,4860,17,12468037
2003,4860,17,12468037
2004,4860,15,12468037
2005,4860,3,12468037
2006,4860,15,12468037
2007,4860,14,12468037
2008,4860,14,12468037
2009,4860,5,12468037
2010,4860,20,12468037
2011,4860,11,12468037
2012,4860,7,12468037
2013,4860,5,12468037
2014,4860,18,12468037
2015,4860,9,12468037
2016,4860,11,12468037
1968,4860,1,12468038
1970,5090,1,12468038
1972,4860,1,12468038
1972,5090,2,12468038
1976,4860,3,12468038
1981,4860,1,12468038
1983,4860,1,12468038
1985,4860,2,12468038
1986,4860,1,12468038
1988,4860,5,12468038
1989,4860,4,12468038
1990,4860,1,12468038
1994,4860,1,12468038
1995,4860,1,12468038
1996,4860,1,12468038
1996,5090,1,12468038
1997,5090,1,12468038
2000,4860,6,12468038
2001,4860,10,12468038
2003,4860,2,12468038
2004,4860,2,12468038
2005,4860,6,12468038
2006,4860,7,12468038
1969,5090,1,12468039
1970,4860,1,12468039
1972,4860,1,12468039
1973,4860,1,12468039
1974,4860,4,12468039
1977,4860,1,12468039
1978,4860,4,12468039
1979,4860,3,12468039
1980,4860,6,12468039
1981,4860,4,12468039
1985,4860,1,12468039
1986,4860,2,12468039
1987,4860,2,12468039
1988,4860,8,12468039
1990,4860,2,12468039
1991,4860,8,12468039
1992,4860,11,12468039
1993,4860,3,12468039
1994,4860,4,12468039
1995,4860,3,12468039
1996,4860,13,12468039
1997,4860,6,12468039
1998,4860,7,12468039
1999,4860,1,12468039
2000,4860,4,12468039
2001,4860,6,12468039
2002,4860,7,12468039
2003,4860,10,12468039
2004,4860,1,12468039
2005,4860,6,12468039
2006,4860,1,12468039
2007,4860,4,12468039
2008,4860,1,12468039
2009,4860,6,12468039
2010,4860,4,12468039
2011,4860,8,12468039
2012,4860,7,12468039
2013,4860,7,12468039
2015,4860,7,12468039
2016,4860,4,12468039
1975,4860,1,12468040
1982,4860,2,12468040
1985,4860,3,12468040
1986,4860,2,12468040
1987,4860,5,12468040
1988,4860,8,12468040
1989,4860,8,12468040
1990,4860,6,12468040
1991,4860,9,12468040
1992,4860,6,12468040
1993,4860,2,12468040
1994,4860,5,12468040
1995,4860,4,12468040
1996,4860,8,12468040
1997,4860,7,12468040
1999,4860,2,12468040
2000,4860,3,12468040
1968,4860,5,12468041
1969,4860,3,12468041
1970,4860,3,12468041
1971,4860,3,12468041
1972,4860,6,12468041
1973,4860,6,12468041
1974,4860,6,12468041
1975,4860,10,12468041
1976,4860,8,12468041
1977,4860,4,12468041
1978,4860,3,12468041
1979,4860,5,12468041
1980,4860,9,12468041
1981,4860,12,12468041
1982,4860,20,12468041
1983,4860,12,12468041
1984,4860,16,12468041
1985,4860,4,12468041
1986,4860,9,12468041
1987,4860,8,12468041
1988,4860,15,12468041
1989,4860,25,12468041
1990,4860,14,12468041
1991,4860,14,12468041
1992,4860,18,12468041
1993,4860,23,12468041
1994,4860,11,12468041
1995,4860,17,12468041
1996,4860,22,12468041
1997,4860,16,12468041
1998,4860,15,12468041
2006,4860,18,12468041
2007,4860,10,12468041
2008,4860,11,12468041
2010,4860,60,12468041
2011,4860,11,12468041
1968,4860,2,12468042
1969,4860,4,12468042
1969,5090,2,12468042
1970,4860,1,12468042
1971,4860,6,12468042
1972,4860,4,12468042
1973,4860,8,12468042
1974,4860,1,12468042
1975,4860,14,12468042
1976,4860,4,12468042
1976,5090,7,12468042
1969,4860,6,12468043
1970,4860,5,12468043
1971,4860,10,12468043
1973,4860,7,12468043
1974,4860,1,12468043
1976,4860,2,12468043
1977,4860,21,12468043
1978,4860,1,12468043
1999,4860,26,12468043
2000,4860,20,12468043
2001,4860,15,12468043
2003,4860,24,12468043
2003,5090,4,12468043
2005,4860,21,12468043
2007,4860,9,12468043
2012,4860,11,12468043
2013,4860,1,12468043
2014,4860,1,12468043
2015,4860,22,12468043
2016,4860,15,12468043
1969,4860,6,12468044
1970,4860,3,12468044
1971,4860,1,12468044
1973,4860,2,12468044
1974,4860,1,12468044
1975,4860,5,12468044
1976,4860,6,12468044
1977,4860,1,12468044
1978,4860,2,12468044
1985,4860,9,12468044
1986,4860,8,12468044
1986,5090,1,12468044
1987,4860,14,12468044
1988,4860,7,12468044
1989,4860,13,12468044
1990,4860,8,12468044
1991,4860,14,12468044
1992,4860,4,12468044
1993,4860,6,12468044
1994,4860,8,12468044
1995,4860,7,12468044
1996,4860,2,12468044
1997,4860,7,12468044
1999,4860,16,12468044
2000,4860,11,12468044
2001,4860,8,12468044
2003,4860,15,12468044
2004,4860,10,12468044
2005,4860,10,12468044
2006,4860,18,12468044
2008,4860,15,12468044
2010,4860,16,12468044
2011,4860,17,12468044
2013,4860,10,12468044
2014,4860,19,12468044
2015,4860,13,12468044
2016,4860,30,12468044
1969,4860,17,12468045
1969,5090,1,12468045
1971,4860,8,12468045
1972,4860,1,12468045
1973,4860,3,12468045
1974,4860,3,12468045
1975,4860,4,12468045
1976,4860,6,12468045
1977,4860,3,12468045
1978,4860,13,12468045
1979,4860,22,12468045
1980,4860,11,12468045
1981,4860,18,12468045
1982,4860,6,12468045
1983,4860,17,12468045
1984,4860,11,12468045
1985,4860,16,12468045
1986,4860,9,12468045
1987,4860,20,12468045
1988,4860,20,12468045
1989,4860,9,12468045
1990,4860,17,12468045
1991,4860,24,12468045
1992,4860,20,12468045
1993,4860,19,12468045
2008,4860,13,12468045
2009,4860,19,12468045
2011,4860,25,12468045
2012,4860,51,12468045
2014,4860,8,12468045
2015,4860,40,12468045
1969,4860,11,12468046
1970,4860,10,12468046
1971,4860,8,12468046
1972,4860,8,12468046
1973,4860,7,12468046
1973,5090,1,12468046
1974,4860,10,12468046
1976,4860,12,12468046
1977,4860,12,12468046
1978,4860,12,12468046
1979,4860,5,12468046
1980,4860,13,12468046
2009,4860,16,12468046
2010,4860,19,12468046
2011,4860,14,12468046
2012,4860,7,12468046
2013,4860,25,12468046
2014,4860,16,12468046
2015,4860,26,12468046
2016,4860,19,12468046
1970,4860,1,12468047
1971,4860,1,12468047
1973,4860,2,12468047
1975,4860,2,12468047
1977,4860,3,12468047
1979,4860,3,12468047
1980,4860,1,12468047
1981,4860,29,12468047
1982,4860,2,12468047
1983,4860,27,12468047
1984,4860,7,12468047
1985,4860,6,12468047
1986,4860,1,12468047
1987,4860,9,12468047
1990,4860,4,12468047
1990,5090,3,12468047
1991,4860,2,12468047
1992,4860,6,12468047
1993,4860,3,12468047
1994,4860,12,12468047
1995,4860,6,12468047
1996,4860,6,12468047
1997,4860,8,12468047
1998,4860,1,12468047
2010,4860,1,12468047
2015,4860,2,12468047
2016,5090,2,12468047
1972,4860,9,12468048
1973,4860,1,12468048
1974,4860,3,12468048
1975,4860,3,12468048
1976,4860,2,12468048
1977,4860,2,12468048
1978,4860,1,12468048
1979,4860,2,12468048
1980,4860,2,12468048
1981,4860,3,12468048
1982,4860,6,12468048
1983,4860,4,12468048
1984,4860,1,12468048
1987,4860,5,12468048
1988,4860,6,12468048
1989,4860,3,12468048
1990,4860,7,12468048
1992,4860,9,12468048
1994,4860,11,12468048
1995,4860,5,12468048
1996,4860,7,12468048
1997,4860,7,12468048
1998,4860,4,12468048
2006,4860,20,12468048
2007,4860,19,12468048
2009,4860,13,12468048
2010,4860,13,12468048
2012,4860,13,12468048
2013,4860,26,12468048
1973,4860,14,12468049
1974,4860,3,12468049
1976,4860,2,12468049
1977,4860,2,12468049
1977,5090,1,12468049
1978,4860,4,12468049
1979,4860,4,12468049
1980,4860,6,12468049
1981,4860,2,12468049
1982,4860,3,12468049
1983,4860,4,12468049
1984,4860,4,12468049
1985,4860,2,12468049
1986,4860,1,12468049
1987,4860,2,12468049
1988,4860,3,12468049
1989,4860,1,12468049
1990,4860,10,12468049
1991,4860,12,12468049
1992,4860,1,12468049
1993,4860,9,12468049
1994,4860,1,12468049
1995,4860,10,12468049
1997,4860,9,12468049
1998,4860,7,12468049
1999,4860,7,12468049
2000,4860,7,12468049
2001,4860,9,12468049
2006,4860,3,12468049
2007,4860,11,12468049
2008,4860,13,12468049
2009,4860,3,12468049
2010,4860,11,12468049
2011,4860,15,12468049
2012,4860,8,12468049
2013,4860,10,12468049
2014,4860,4,12468049
2015,4860,6,12468049
2016,4860,2,12468049
1970,4860,1,12468050
1972,4860,1,12468050
1976,4860,1,12468050
1981,4860,2,12468050
1983,4860,4,12468050
1984,4860,2,12468050
1985,4860,1,12468050
1986,4860,1,12468050
1987,4860,6,12468050
1988,4860,1,12468050
1989,4860,1,12468050
1991,4860,5,12468050
1992,4860,6,12468050
1994,4860,1,12468050
1995,4860,11,12468050
1996,4860,4,12468050
1997,4860,6,12468050
1998,4860,6,12468050
1999,4860,5,12468050
2000,4860,12,12468050
2001,4860,4,12468050
2002,4860,4,12468050
2003,4860,3,12468050
2006,4860,3,12468050
2007,4860,6,12468050
2008,4860,2,12468050
2009,4860,1,12468050
2013,4860,3,12468050
2015,4860,1,12468050
1971,4860,3,12468051
1971,5090,1,12468051
1973,4860,1,12468051
1973,5090,1,12468051
1975,4860,1,12468051
1977,4860,2,12468051
1978,4860,1,12468051
1979,4860,1,12468051
1980,4860,12,12468051
1981,4860,4,12468051
1982,4860,3,12468051
1983,4860,3,12468051
1984,4860,2,12468051
1984,5090,1,12468051
1985,4860,3,12468051
1986,4860,3,12468051
1987,4860,1,12468051
1988,4860,3,12468051
1989,4860,7,12468051
1991,4860,2,12468051
1992,4860,4,12468051
1993,4860,5,12468051
1994,4860,10,12468051
1995,4860,9,12468051
1996,4860,10,12468051
1997,4860,3,12468051
1998,4860,6,12468051
2000,4860,5,12468051
2009,4860,3,12468051
2010,4860,5,12468051
2012,4860,2,12468051
2013,4860,1,12468051
2014,4860,1,12468051
2015,4860,3,12468051
2016,4860,4,12468051
1970,4860,14,12468052
1971,4860,15,12468052
1972,4860,9,12468052
1973,4860,9,12468052
1974,4860,5,12468052
1975,4860,11,12468052
1976,4860,10,12468052
1977,4860,6,12468052
1978,4860,8,12468052
1979,4860,11,12468052
1980,4860,7,12468052
1981,4860,14,12468052
1982,4860,6,12468052
1983,4860,6,12468052
1984,4860,7,12468052
1985,4860,7,12468052
1986,4860,8,12468052
1987,4860,7,12468052
1988,4860,9,12468052
1989,4860,15,12468052
1990,4860,17,12468052
1991,4860,10,12468052
1992,4860,9,12468052
1993,4860,12,12468052
1999,4860,5,12468052
2000,4860,1,12468052
2001,4860,5,12468052
2002,4860,2,12468052
2003,4860,2,12468052
2004,4860,16,12468052
2005,4860,4,12468052
2006,4860,6,12468052
2008,4860,3,12468052
2010,4860,9,12468052
2011,4860,9,12468052
2012,4860,6,12468052
2013,4860,3,12468052
2014,4860,12,12468052
2015,4860,11,12468052
2016,4860,10,12468052
1970,4860,7,12468053
1971,4860,17,12468053
1973,4860,9,12468053
1974,4860,7,12468053
1975,4860,16,12468053
1976,4860,18,12468053
1977,4860,10,12468053
1978,4860,5,12468053
1979,4860,16,12468053
1980,4860,21,12468053
1981,4860,25,12468053
1982,4860,70,12468053
1987,4860,15,12468053
1989,4860,19,12468053
1997,4860,8,12468053
1998,4860,16,12468053
2001,4860,12,12468053
2003,4860,6,12468053
2004,4860,12,12468053
2005,4860,8,12468053
2006,4860,8,12468053
2007,4860,8,12468053
2008,4860,10,12468053
2009,4860,12,12468053
2010,4860,13,12468053
2011,4860,19,12468053
2012,4860,17,12468053
2014,4860,16,12468053
2015,4860,11,12468053
2016,4860,22,12468053
1971,4860,40,12468054
1977,4860,9,12468054
1977,5090,3,12468054
1979,4860,12,12468054
1980,4860,20,12468054
1981,4860,12,12468054
1982,4860,53,12468054
1983,4860,16,12468054
1984,4860,13,12468054
1985,4860,14,12468054
1986,4860,9,12468054
1987,4860,13,12468054
1988,4860,16,12468054
1989,4860,24,12468054
1990,4860,31,12468054
1991,4860,22,12468054
1992,4860,14,12468054
1993,4860,23,12468054
1994,4860,7,12468054
1995,4860,10,12468054
1996,4860,9,12468054
1997,4860,19,12468054
1998,4860,15,12468054
1999,4860,9,12468054
2000,4860,5,12468054
2001,4860,5,12468054
2002,4860,18,12468054
2003,4860,7,12468054
2004,4860,11,12468054
2005,4860,9,12468054
2006,4860,10,12468054
2007,4860,11,12468054
2008,4860,5,12468054
2009,4860,6,12468054
2010,4860,15,12468054
2011,4860,15,12468054
2012,4860,5,12468054
2013,4860,14,12468054
2014,4860,13,12468054
2015,4860,8,12468054
2016,4860,8,12468054
2010,4860,1,12468055
2011,4860,3,12468055
2012,4860,5,12468055
2013,4860,3,12468055
2014,4860,1,12468055
2015,4860,3,12468055
2016,4860,5,12468055
1975,4860,16,12468056
1976,4860,9,12468056
1976,5090,6,12468056
1977,4860,22,12468056
1978,4860,10,12468056
1992,4860,7,12468056
1974,4860,3,12468058
1975,4860,2,12468058
1976,4860,4,12468058
1978,4860,3,12468058
1979,4860,15,12468058
1980,4860,7,12468058
1981,4860,4,12468058
1982,4860,2,12468058
1983,4860,3,12468058
1984,4860,10,12468058
1985,4860,1,12468058
1988,4860,5,12468058
1989,4860,17,12468058
1990,4860,5,12468058
1991,4860,4,12468058
1993,4860,3,12468058
1994,4860,1,12468058
1995,4860,1,12468058
1996,4860,3,12468058
1997,4860,3,12468058
1998,4860,1,12468058
1999,4860,8,12468058
2000,4860,7,12468058
2010,4860,9,12468058
2011,4860,2,12468058
2013,4860,19,12468058
2014,4860,15,12468058
2016,4860,11,12468058
1978,4860,7,12468059
1978,5090,3,12468059
1979,4860,2,12468059
1979,5090,2,12468059
1982,4860,1,12468059
1982,5090,8,12468059
1994,4860,4,12468059
1998,4860,16,12468059
1999,4860,14,12468059
2000,4860,19,12468059
2001,4860,16,12468059
2002,4860,10,12468059
2003,4860,15,12468059
2004,4860,11,12468059
2005,4860,10,12468059
2006,4860,10,12468059
2007,4860,24,12468059
2008,4860,24,12468059
2009,4860,21,12468059
2010,4860,9,12468059
2011,4860,15,12468059
2012,4860,15,12468059
2013,4860,10,12468059
2014,4860,17,12468059
1971,4860,19,12468060
1974,4860,2,12468060
1975,4860,15,12468060
1976,4860,36,12468060
1977,4860,16,12468060
1978,4860,11,12468060
1979,4860,14,12468060
1980,4860,23,12468060
1981,4860,35,12468060
1982,4860,27,12468060
1974,4860,17,12468061
1975,4860,23,12468061
1975,5090,1,12468061
1976,4860,25,12468061
1976,5090,4,12468061
1977,4860,39,12468061
1977,5090,1,12468061
1978,4860,15,12468061
1978,5090,1,12468061
1979,4860,24,12468061
1979,5090,1,12468061
1980,4860,43,12468061
1980,5090,1,12468061
1981,4860,32,12468061
1982,4860,36,12468061
1983,4860,16,12468061
1984,4860,42,12468061
2007,4860,18,12468061
2009,4860,24,12468061
2010,4860,28,12468061
2011,4860,19,12468061
2013,4860,7,12468061
1971,4860,3,12468062
1975,4860,3,12468062
1976,4860,5,12468062
1977,4860,3,12468062
1978,4860,5,12468062
1986,4860,13,12468062
2004,4860,18,12468062
2005,4860,5,12468062
2007,4860,7,12468062
2008,4860,15,12468062
2009,4860,7,12468062
2010,4860,13,12468062
2011,4860,9,12468062
2013,4860,18,12468062
1976,4860,2,12468063
1977,4860,7,12468063
1978,4860,1,12468063
1972,4860,8,12468064
1972,5090,1,12468064
1973,4860,3,12468064
1973,5090,10,12468064
1974,4860,7,12468064
1974,5090,3,12468064
1975,4860,1,12468064
1975,5090,7,12468064
1976,4860,1,12468064
1976,5090,2,12468064
1977,4860,6,12468064
1978,4860,3,12468064
1979,4860,5,12468064
1980,4860,5,12468064
1980,5090,12,12468064
1981,4860,4,12468064
1982,4860,6,12468064
1983,4860,13,12468064
1983,5090,1,12468064
1984,4860,7,12468064
1984,5090,1,12468064
1985,4860,11,12468064
2006,4860,38,12468064
2007,4860,21,12468064
2008,4860,25,12468064
2009,4860,23,12468064
2010,4860,7,12468064
2011,4860,9,12468064
2012,4860,16,12468064
2013,4860,12,12468064
2014,4860,18,12468064
2015,4860,9,12468064
2016,4860,9,12468064
1977,4860,15,12468065
1977,5090,3,12468065
1980,4860,9,12468065
1981,4860,6,12468065
1982,4860,5,12468065
1982,5090,4,12468065
2001,4860,3,12468065
2002,4860,12,12468065
2003,4860,14,12468065
2004,4860,7,12468065
2005,4860,3,12468065
2011,4860,6,12468065
2012,4860,6,12468065
2013,4860,11,12468065
2014,4860,10,12468065
2015,4860,6,12468065
2016,4860,4,12468065
1977,4860,9,12468066
1980,4860,14,12468066
1981,4860,5,12468066
1982,4860,4,12468066
1983,4860,5,12468066
1984,4860,7,12468066
1985,4860,9,12468066
1986,4860,6,12468066
1987,4860,10,12468066
1988,4860,14,12468066
1989,4860,16,12468066
1990,4860,12,12468066
1991,4860,10,12468066
